,TractFIPS,City
327,24510280402.0,Baltimore
328,24510160500.0,Baltimore
329,24510150702.0,Baltimore
330,24510140200.0,Baltimore
331,24510150300.0,Baltimore
332,24510140300.0,Baltimore
333,24510150200.0,Baltimore
334,24510150701.0,Baltimore
335,24510150400.0,Baltimore
336,24510150500.0,Baltimore
337,24510150600.0,Baltimore
338,24510130806.0,Baltimore
339,24510160600.0,Baltimore
340,24510271802.0,Baltimore
341,24510271900.0,Baltimore
342,24510150800.0,Baltimore
343,24510280401.0,Baltimore
344,24510271102.0,Baltimore
345,24510272003.0,Baltimore
346,24510240100.0,Baltimore
347,24510271300.0,Baltimore
348,24510140100.0,Baltimore
349,24510230100.0,Baltimore
350,24510271700.0,Baltimore
351,24510272007.0,Baltimore
352,24510230300.0,Baltimore
353,24510210100.0,Baltimore
354,24510210200.0,Baltimore
355,24510220100.0,Baltimore
356,24510271600.0,Baltimore
357,25025081900.0,Boston
358,25025081100.0,Boston
359,25025081200.0,Boston
360,25025082000.0,Boston
361,25025090100.0,Boston
362,25025081800.0,Boston
363,25025081700.0,Boston
364,25025081500.0,Boston
365,25025090400.0,Boston
366,25025081400.0,Boston
367,25025090200.0,Boston
368,25025090300.0,Boston
369,25025090600.0,Boston
370,25025080401.0,Boston
371,25025090700.0,Boston
372,25025091400.0,Boston
373,25025091100.0,Boston
374,25025081300.0,Boston
375,25025080900.0,Boston
376,25025060101.0,Boston
377,25025080500.0,Boston
378,25025010702.0,Boston
379,25025010104.0,Boston
380,25025060200.0,Boston
381,25025060700.0,Boston
382,25025060400.0,Boston
383,25025061000.0,Boston
384,25025060800.0,Boston
385,25025060600.0,Boston
386,25025070800.0,Boston
387,25025070700.0,Boston
388,25025070300.0,Boston
389,25025070500.0,Boston
390,25025070101.0,Boston
391,25025061200.0,Boston
392,25025091500.0,Boston
393,25025000503.0,Boston
394,25025080801.0,Boston
395,25025080300.0,Boston
396,25025092300.0,Boston
397,25025091600.0,Boston
398,25025091800.0,Boston
399,25025130100.0,Boston
400,25025140102.0,Boston
401,25025130300.0,Boston
402,25025130402.0,Boston
403,25025071101.0,Boston
404,25025000202.0,Boston
405,25025000201.0,Boston
406,25025000100.0,Boston
407,25025000301.0,Boston
408,25025000302.0,Boston
409,25025000401.0,Boston
410,25025000402.0,Boston
411,25025000701.0,Boston
412,25025000602.0,Boston
413,25025000601.0,Boston
414,25025000502.0,Boston
415,25025040600.0,Boston
416,25025130200.0,Boston
417,25025100200.0,Boston
418,25025120400.0,Boston
419,25025110601.0,Boston
420,25025092400.0,Boston
421,25025092200.0,Boston
422,25025010801.0,Boston
423,25025091900.0,Boston
424,25025092000.0,Boston
425,25025100100.0,Boston
426,25025100601.0,Boston
427,25025100300.0,Boston
428,25025100400.0,Boston
429,25025100500.0,Boston
430,25025100800.0,Boston
431,25025101001.0,Boston
432,25025100900.0,Boston
433,25025110401.0,Boston
434,25025101102.0,Boston
435,25025101002.0,Boston
436,25025110502.0,Boston
437,25025120700.0,Boston
438,25025010403.0,Boston
439,25025091200.0,Boston
440,25025050600.0,Boston
441,25025000703.0,Boston
442,25025010204.0,Boston
443,25025000504.0,Boston
444,25025000803.0,Boston
445,25025020101.0,Boston
446,25025010405.0,Boston
447,25025081001.0,Boston
448,25025020302.0,Boston
449,25025040100.0,Boston
